count,x
8.105000000000000000e+03,-1.000000000000000000e+04
8.153000000000000000e+03,-9.996332599999999729e+03
8.172000000000000000e+03,-9.992665199999999459e+03
8.310000000000000000e+03,-9.988997799999999188e+03
8.361000000000000000e+03,-9.985330400000000736e+03
8.689000000000000000e+03,-9.981663000000000466e+03
8.867000000000000000e+03,-9.977995600000000195e+03
8.777000000000000000e+03,-9.974328199999999924e+03
9.238000000000000000e+03,-9.970660799999999654e+03
9.212000000000000000e+03,-9.966993399999999383e+03
9.098000000000000000e+03,-9.963325999999999112e+03
9.262000000000000000e+03,-9.959658600000000661e+03
9.597000000000000000e+03,-9.955991200000000390e+03
9.432000000000000000e+03,-9.952323800000000119e+03
9.761000000000000000e+03,-9.948656399999999849e+03
9.909000000000000000e+03,-9.944988999999999578e+03
1.039700000000000000e+04,-9.941321599999999307e+03
1.029100000000000000e+04,-9.937654199999999037e+03
1.051600000000000000e+04,-9.933986800000000585e+03
1.061600000000000000e+04,-9.930319400000000314e+03
1.087300000000000000e+04,-9.926652000000000044e+03
1.090700000000000000e+04,-9.922984599999999773e+03
1.141400000000000000e+04,-9.919317199999999502e+03
1.164500000000000000e+04,-9.915649799999999232e+03
1.204300000000000000e+04,-9.911982399999998961e+03
1.206500000000000000e+04,-9.908314999999998690e+03
1.230500000000000000e+04,-9.904647600000000239e+03
1.272800000000000000e+04,-9.900980199999999968e+03
1.287000000000000000e+04,-9.897312799999999697e+03
1.356100000000000000e+04,-9.893645399999999427e+03
1.363800000000000000e+04,-9.889977999999999156e+03
1.442300000000000000e+04,-9.886310599999998885e+03
1.471200000000000000e+04,-9.882643199999998615e+03
1.538900000000000000e+04,-9.878975800000000163e+03
1.594700000000000000e+04,-9.875308399999999892e+03
1.658600000000000000e+04,-9.871640999999999622e+03
1.785300000000000000e+04,-9.867973599999999351e+03
1.860000000000000000e+04,-9.864306199999999080e+03
1.940200000000000000e+04,-9.860638799999998810e+03
2.045300000000000000e+04,-9.856971399999998539e+03
2.202200000000000000e+04,-9.853304000000000087e+03
2.364700000000000000e+04,-9.849636599999999817e+03
2.591700000000000000e+04,-9.845969199999999546e+03
2.926800000000000000e+04,-9.842301799999999275e+03
3.248500000000000000e+04,-9.838634399999999005e+03
3.411800000000000000e+04,-9.834966999999998734e+03
2.983900000000000000e+04,-9.831299599999998463e+03
1.885900000000000000e+04,-9.827632200000000012e+03
6.747000000000000000e+03,-9.823964799999999741e+03
7.890000000000000000e+02,-9.820297399999999470e+03
